Reactions,Single_gene,enzyme_mass,kcat_mean,kcat_std
rxn03194_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn03194_c0,NODE_1_2417380_2415695,0.0,23.2126374293803,11.64696326957151
rxn03194_c0,NODE_1_2417380_2415695,0.0,23.2126374293803,11.64696326957151
rxn03194_c0,NODE_1_2417380_2415695,0.0,23.2126374293803,11.64696326957151
rxn03194_c0,NODE_1_2417380_2415695,0.0,23.2126374293803,11.64696326957151
rxn03194_c0,NODE_1_2417380_2415695,0.0,23.2126374293803,11.64696326957151
rxn03194_c0,NODE_1_2417380_2415695,0.0,23.2126374293803,11.64696326957151
rxn03194_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn03194_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn03194_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn03194_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn03194_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn03194_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn03194_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn03194_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn03194_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn03194_c0,NODE_1_2417380_2415695,0.0,5.26279705057558,1.5868936727040144
rxn03194_c0,NODE_1_2417380_2415695,0.0,5.26279705057558,1.5868936727040144
rxn03194_c0,NODE_1_2417380_2415695,0.0,5.26279705057558,1.5868936727040144
rxn08043_c0,NODE_1_2417380_2415695,0.0,8.392848172480988,4.330045915168225
rxn08043_c0,NODE_1_2417380_2415695,0.0,8.392848172480988,4.330045915168225
rxn08043_c0,NODE_1_2417380_2415695,0.0,8.392848172480988,4.330045915168225
rxn08043_c0,NODE_1_2417380_2415695,0.0,8.392848172480988,4.330045915168225
rxn08043_c0,NODE_1_2417380_2415695,0.0,8.392848172480988,4.330045915168225
rxn08043_c0,NODE_1_2417380_2415695,0.0,8.392848172480988,4.330045915168225
rxn08043_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn08043_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn08043_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn08043_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn08043_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn08043_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn08043_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn08043_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn08043_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn08043_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn08043_c0,NODE_1_2417380_2415695,0.0,23.2126374293803,11.64696326957151
rxn08043_c0,NODE_1_2417380_2415695,0.0,23.2126374293803,11.64696326957151
rxn08043_c0,NODE_1_2417380_2415695,0.0,23.2126374293803,11.64696326957151
rxn08043_c0,NODE_1_2417380_2415695,0.0,23.2126374293803,11.64696326957151
rxn08043_c0,NODE_1_2417380_2415695,0.0,23.2126374293803,11.64696326957151
rxn08043_c0,NODE_1_2417380_2415695,0.0,23.2126374293803,11.64696326957151
rxn15021_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn15021_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn15021_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn15021_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn15021_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn15021_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn15021_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn15021_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn15021_c0,NODE_1_2417380_2415695,0.0,11.05074575385584,6.07082044625424
rxn15021_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn15021_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn15021_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn15021_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn15021_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn15021_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn15491_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn15491_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn15491_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn15491_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn15491_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn15491_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn15491_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn15491_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn15491_c0,NODE_1_2417380_2415695,0.0,12.63749406800404,9.16438070626076
rxn15491_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn15491_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn15491_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn15491_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn15491_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn15491_c0,NODE_1_2417380_2415695,0.0,7.709772202633258,2.8196347686275773
rxn15491_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn15491_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn15491_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn15491_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn15491_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn15491_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn15491_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn15491_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn15491_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn15491_c0,NODE_1_2417380_2415695,0.0,9.57661157607596,3.9354626498042142
rxn15491_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn15491_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn15491_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn15491_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn15491_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn15491_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn15491_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn15491_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn15491_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn15491_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn15491_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn15491_c0,NODE_1_2417380_2415695,0.0,17.206124398112575,7.483062368305253
rxn00003_c0,NODE_1_3372496_3374217,0.0,15.322655422732131,4.779309426961009
rxn00003_c0,NODE_1_3372496_3374217,0.0,15.322655422732131,4.779309426961009
rxn00003_c0,NODE_1_3372496_3374217,0.0,15.322655422732131,4.779309426961009
rxn00003_c0,NODE_1_3372496_3374217,0.0,15.322655422732131,4.779309426961009
rxn00003_c0,NODE_1_3372496_3374217,0.0,15.322655422732131,4.779309426961009
rxn00003_c0,NODE_1_3372496_3374217,0.0,15.322655422732131,4.779309426961009
rxn00003_c0,NODE_1_3372496_3374217,0.0,8.683700996635055,1.7003588379484085
rxn00003_c0,NODE_1_3372496_3374217,0.0,8.683700996635055,1.7003588379484085
rxn00003_c0,NODE_1_3372496_3374217,0.0,8.683700996635055,1.7003588379484085
rxn00003_c0,NODE_1_3372496_3374217,0.0,8.683700996635055,1.7003588379484085
rxn00010_c0,NODE_1_3372496_3374217,0.0,11.11810730052151,3.703549108458055
rxn00010_c0,NODE_1_3372496_3374217,0.0,11.11810730052151,3.703549108458055
rxn00010_c0,NODE_1_3372496_3374217,0.0,11.11810730052151,3.703549108458055
