Variable,Index,Value,Bounds
flux,AIRC3,0.0,"[0, 1000.0]"
flux,ADSL2r,0.333138146701596,"[0, 1000.0]"
flux,EX_fe2_e,0.0,"[0, 1000.0]"
flux,PUNP5,0.0,"[0, 1000.0]"
flux,PUNP6,0.0,"[0, 1000.0]"
flux,PUNP7,0.0,"[0, 1000.0]"
flux,RNDR1,0.0,"[0.0, 1000.0]"
flux,RNDR3,0.0,"[0.0, 1000.0]"
flux,RNDR4,0.0,"[0.0, 1000.0]"
flux,TMDS,0.0194663009030932,"[0.0, 1000.0]"
flux,TMDK1,0.0,"[0.0, 1000.0]"
flux,PPCDC,0.00050142500988688,"[0.0, 1000.0]"
flux,FTHFD,0.0,"[0.0, 1000.0]"
flux,EX_glc__D_e,0.0,"[0, 1000.0]"
flux,EDD,0.0,"[0.0, 1000.0]"
flux,DHQTi,0.283535012378124,"[0.0, 1000.0]"
flux,PUNP1,0.0,"[0, 1000.0]"
flux,PUNP2,0.0,"[0, 1000.0]"
flux,PUNP3,0.0,"[0, 1000.0]"
flux,LYSAM,0.0,"[0, 1000.0]"
flux,DHAD1,0.650488845132422,"[0.0, 1000.0]"
flux,IPPMIa,0.0,"[0, 1000.0]"
flux,EX_alltn_e,0.0,"[0, 1000.0]"
flux,G3PD7,0.0,"[0.0, 1000.0]"
flux,NADH9,0.0,"[0.0, 1000.0]"
flux,NADH10,0.0,"[0.0, 1000.0]"
flux,MDH,0.0,"[0, 1000.0]"
flux,FUM,9.53934112744558,"[0, 1000.0]"
flux,PYDXNK,0.0,"[0.0, 1000.0]"
flux,PYAM5PO,0.0,"[0.0, 1000.0]"
flux,OHPBAT,0.0,"[0, 1000.0]"
flux,EX_dgsn_e,0.0,"[0, 1000.0]"
flux,EX_arab__L_e,0.0,"[0, 1000.0]"
flux,EX_fru_e,0.0,"[0, 1000.0]"
flux,EX_gal_e,0.0,"[0, 1000.0]"
flux,EX_xyl__D_e,0.0,"[0, 1000.0]"
flux,EX_duri_e,0.0,"[0, 1000.0]"
flux,EX_for_e,0.0,"[0, 1000.0]"
flux,EX_gly_e,0.0,"[0, 1000.0]"
flux,EX_h2_e,0.0,"[0, 1000.0]"
flux,EX_lys__L_e,0.0,"[0, 1000.0]"
flux,EX_ser__L_e,0.0,"[0, 1000.0]"
flux,EX_thm_e,0.0,"[0, 1000.0]"
flux,EX_trp__L_e,0.0,"[0, 1000.0]"
flux,GLUTRR,0.00265442794551084,"[0.0, 1000.0]"
flux,GLCS1,0.0,"[0.0, 1000.0]"
flux,GLCP,0.0,"[0.0, 1000.0]"
flux,EX_din_e,0.0,"[0, 1000.0]"
flux,EX_fmn_e,0.0,"[0, 1000.0]"
flux,EX_gthox_e,0.0,"[0, 1000.0]"
flux,HEMEOS,0.0,"[0.0, 1000.0]"
flux,ADMDC,0.0,"[0.0, 1000.0]"
flux,AGMT,0.0,"[0.0, 1000.0]"
flux,ARGDC,0.0,"[0.0, 1000.0]"
flux,ARGSS,0.220055647662148,"[0.0, 1000.0]"
flux,AGPR,0.0,"[0, 1000.0]"
flux,SPMS,0.0,"[0.0, 1000.0]"
flux,G1SAT,0.00265442794551084,"[0, 1000.0]"
flux,KDOCT2,0.0289487388496967,"[0.0, 1000.0]"
flux,OAADC,0.0,"[0.0, 1000.0]"
flux,MNNH,0.0,"[0.0, 1000.0]"
flux,ALTRH,0.0,"[0.0, 1000.0]"
flux,GUI1,0.0,"[0, 1000.0]"
flux,PGAMT,0.0,"[0, 1000.0]"
flux,UAGDP,0.0702947274987187,"[0.0, 1000.0]"
flux,UAGCVT,0.020672994324511,"[0.0, 1000.0]"
flux,GLUR,0.0,"[0, 1000.0]"
flux,UAG2E,0.0,"[0, 1000.0]"
flux,EX_acald_e,0.0,"[0, 1000.0]"
flux,EX_melib_e,0.0,"[0, 1000.0]"
flux,MACPD,0.0,"[0.0, 1000.0]"
flux,DMQMT,0.0,"[0.0, 1000.0]"
flux,ICHORS_copy1,0.0,"[0.0, 1000.0]"
flux,EX_sucr_e,0.0,"[0, 1000.0]"
flux,EX_tre_e,0.0,"[0, 1000.0]"
flux,EX_zn2_e,0.0,"[0, 1000.0]"
flux,HACD5,0.26475835685213,"[0, 1000.0]"
flux,DNMPPA,0.000497705239783131,"[0.0, 1000.0]"
flux,HPPK2,0.000497705239783132,"[0.0, 1000.0]"
flux,PTPATi,0.00050142500988688,"[0.0, 1000.0]"
flux,HEX7,0.0,"[0.0, 1000.0]"
flux,DXPRIi,0.00177730615522012,"[0.0, 1000.0]"
flux,OPHBDC,0.000165901746594428,"[0.0, 1000.0]"
flux,OHPHM,0.0,"[0.0, 1000.0]"
flux,GHMT2r,0.830817348094049,"[0, 1000.0]"
flux,DHORD2,0.246096270245308,"[0.0, 1000.0]"
flux,ADK4,0.0,"[0, 1000.0]"
flux,INSK,0.0,"[0.0, 1000.0]"
flux,ABTA,6.56128202366265,"[0.0, 1000.0]"
flux,SSALx,4.06299105394083,"[0.0, 1000.0]"
flux,ASPT,0.0,"[0.0, 1000.0]"
flux,SERD_L,0.0,"[0.0, 1000.0]"
flux,THRD,0.0,"[0.0, 1000.0]"
flux,HEX4,0.0,"[0.0, 1000.0]"
flux,KARA1,0.0,"[0, 1000.0]"
flux,KARA2,0.216140217651715,"[0, 1000.0]"
flux,ACCOAC,0.0579019414235171,"[0.0, 1000.0]"
flux,NADK,0.000332547447209265,"[0.0, 1000.0]"
flux,ICHORS_copy2,0.0,"[0, 1000.0]"
flux,SUCBZS,0.0,"[0.0, 1000.0]"
flux,DHBD,0.0,"[0, 1000.0]"
flux,ICHORT,0.0,"[0.0, 1000.0]"
flux,RBK_L1,0.0,"[0.0, 1000.0]"
flux,RBP4E,0.0,"[0, 1000.0]"
flux,NTD2,0.0,"[0.0, 1000.0]"
flux,NTD4,0.0,"[0.0, 1000.0]"
flux,NTD5,0.0,"[0.0, 1000.0]"
flux,NTD6,0.0,"[0.0, 1000.0]"
flux,LGTHL,0.0,"[0.0, 1000.0]"
flux,PYDXPP,0.0,"[0.0, 1000.0]"
flux,PDXPP,0.0,"[0.0, 1000.0]"
flux,HACD6,0.206860879152736,"[0, 1000.0]"
flux,ECOAH1,0.26475835685213,"[0, 1000.0]"
flux,ECOAH2,0.26475835685213,"[0, 1000.0]"
flux,ECOAH3,0.26475835685213,"[0, 1000.0]"
flux,UGLT,0.0,"[0, 1000.0]"
flux,DXPS,0.00210910964840898,"[0.0, 1000.0]"
flux,CDPMEK,0.00177730615522012,"[0.0, 1000.0]"
flux,MECDPS,0.00177730615522012,"[0.0, 1000.0]"
flux,DDGLK,0.0,"[0.0, 1000.0]"
flux,XYLI2,0.0,"[0, 1000.0]"
flux,PMANM,0.0,"[0, 1000.0]"
flux,ICL,2.20226980273092,"[0.0, 1000.0]"
flux,GLYCL,0.0412410911320091,"[0.0, 1000.0]"
flux,CMPN,0.0,"[0.0, 1000.0]"
flux,HCYSMT,0.0,"[0.0, 1000.0]"
flux,UDPG4E,0.0,"[0, 1000.0]"
flux,LACZ,0.0,"[0.0, 1000.0]"
flux,TRE6PH,0.0,"[0.0, 1000.0]"
flux,XYLI1,0.0,"[0, 1000.0]"
flux,PPC,0.0,"[0.0, 1000.0]"
flux,ALDD4,0.0,"[0.0, 1000.0]"
flux,G3PT,0.0,"[0.0, 1000.0]"
flux,CINNDO,0.0,"[0.0, 1000.0]"
flux,DHPPD,0.0,"[0.0, 1000.0]"
flux,DHCIND,0.0,"[0.0, 1000.0]"
flux,CITL,0.0,"[0.0, 1000.0]"
flux,GOFUCR,0.0,"[0.0, 1000.0]"
flux,PYDXK,0.0,"[0.0, 1000.0]"
flux,GTPCII2,0.000331803493188866,"[0.0, 1000.0]"
flux,URIC,0.0,"[0.0, 1000.0]"
flux,SADT2,0.184115228926826,"[0.0, 1000.0]"
flux,LCARS,0.0,"[0, 1000.0]"
flux,ALCD19,0.0,"[0, 1000.0]"
flux,RMPA,0.0,"[0, 1000.0]"
flux,SBTPD,0.0,"[0, 1000.0]"
flux,PFK_2,0.0,"[0.0, 1000.0]"
flux,GLTPD,0.0,"[0, 1000.0]"
flux,TGBPA,0.0,"[0, 1000.0]"
flux,MANAO,0.0,"[0, 1000.0]"
flux,TAGURr,0.0,"[0, 1000.0]"
flux,PGLYCP,0.0,"[0.0, 1000.0]"
flux,GLXCL,0.0,"[0.0, 1000.0]"
flux,TARTD,0.0,"[0.0, 1000.0]"
flux,GLCRAL,0.0,"[0.0, 1000.0]"
flux,KAS14,0.0,"[0.0, 1000.0]"
flux,EDTXS1,0.0,"[0.0, 1000.0]"
