Variable,Index,Value
flux,rxn01459_c0,0.0
flux,rxn01462_c0,0.0
flux,rxn01464_c0,0.0
flux,rxn01465_c0,-0.19326820571143344
flux,rxn01466_c0,0.012708216402460013
flux,rxn01474_c0,0.0
flux,rxn01475_c0,0.0
flux,rxn01476_c0,0.0
flux,rxn01477_c0,0.0
flux,rxn01483_c0,0.0340915729867368
flux,rxn01484_c0,0.0
flux,rxn01485_c0,0.0
flux,rxn01491_c0,0.0
flux,rxn01492_c0,0.0
flux,rxn01494_c0,0.0
flux,rxn01496_c0,0.0
flux,rxn01501_c0,0.0
flux,rxn01503_c0,0.0
flux,rxn01505_c0,0.03409157298676746
flux,rxn01506_c0,0.0
flux,rxn01507_c0,0.0
flux,rxn01509_c0,0.0
flux,rxn01510_c0,0.0
flux,rxn01511_c0,0.0
flux,rxn01512_c0,0.023768503705809962
flux,rxn01513_c0,0.015245610459032832
flux,rxn01515_c0,0.0
flux,rxn01516_c0,0.0
flux,rxn01517_c0,-0.015245610459032832
flux,rxn01518_c0,0.0
flux,rxn01519_c0,0.0
flux,rxn01520_c0,0.015245610459084688
flux,rxn01521_c0,0.0
flux,rxn01522_c0,0.0
flux,rxn01529_c0,0.0
flux,rxn01530_c0,0.0
flux,rxn01538_c0,0.0020926615778879007
flux,rxn01539_c0,0.0
flux,rxn01544_c0,0.0
flux,rxn01545_c0,0.0
flux,rxn01547_c0,0.0
flux,rxn01548_c0,-0.0062779847336287276
flux,rxn01555_c0,0.0
flux,rxn01560_c0,0.0
flux,rxn01571_c0,0.0
flux,rxn01575_c0,-0.16534043379704144
flux,rxn01596_c0,0.0
flux,rxn01601_c0,999.9937220152665
flux,rxn01602_c0,-1000.0
flux,rxn01603_c0,0.0
flux,rxn01615_c0,-1000.0
flux,rxn01617_c0,1000.0
flux,rxn01618_c0,0.0
flux,rxn01620_c0,0.0
flux,rxn01621_c0,0.0
flux,rxn01626_c0,0.0
flux,rxn01629_c0,-0.033482585246247254
flux,rxn01631_c0,0.0
flux,rxn01634_c0,0.0
flux,rxn01637_c0,0.0
flux,rxn01643_c0,-0.6545051911607516
flux,rxn01644_c0,0.204722101282254
flux,rxn01646_c0,0.0
