Reaction,Level 1: Baseline GEM_FVi,Level 1: Baseline GEM_FVR,Level 2: Single Enzyme_FVi,Level 2: Single Enzyme_FVR,Level 3a: + Isoenzymes_FVi,Level 3a: + Isoenzymes_FVR,Level 3b: + Complexes_FVi,Level 3b: + Complexes_FVR,Level 3c: + Promiscuous_FVi,Level 3c: + Promiscuous_FVR,Level 4: All Constraints_FVi,Level 4: All Constraints_FVR,Level 5: Post-Tuned_FVi,Level 5: Post-Tuned_FVR
G5SD,0.9815814571609869,18.596967788683298,-1.7539714239998997e-09,6.80066003511115e-10,1.4737732751969252e-09,5.714249906585422e-10,-1.7539714239998997e-09,6.80066003511115e-10,0.017901629494283353,0.0003818596708785992,0.9998911856569538,159.86563807275118,0.004675289513302182,0.0003592545974145031
UAPGR,0.978820671284906,2.0273043478258423,-1.5166188514114608e-09,7.391999859440723e-11,1.6660690192056372e-09,8.12041996145485e-11,-1.5166188514114608e-09,7.391999859440723e-11,0.01127577095303604,3.003269119470015e-05,0.9998858493490586,19.15656001861328,0.0035875681284748776,3.4615976130100354e-05
EX_gmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23dappa_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMMBLHX3,-5.443383167407063e-07,5.4433802043666446e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.9999729290152236,3.69389195580304e-06,0.0,0.0,0.9999776222405464,4.46862262647833e-06
APG3PAT160,0.9999999999693824,3.2660923681475844,0.9999999982131593,0.0559647001242802,0.9999999982131593,0.0559647003248578,0.9999999982131593,0.0559647001242802,0.9999999672225857,0.0030508811859619,0.9999999999966739,30.06420946199206,0.9999999717898589,0.0035448244181359
EX_man_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBIuabcpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMALT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAGK181,0.9999999999957108,23.313999999996163,0.0,0.0,0.8771952395201938,7.14300680277324e-10,0.0,0.0,0.9999997943743043,0.0004863204428912,0.9999999999995413,217.9473126989925,0.9999997754429517,0.0004453210366115
KAS14,0.9999999999201735,1.2527168927740606,0.0,0.0,0.8350209945611978,5.061377308829411e-10,0.0,0.0,0.999982638745925,5.75985256840493e-06,0.999999999989851,9.853243628678449,0.9999965320604042,2.88354656832831e-05
CPGNUtpp,0.9999999999865978,7.461494152561658,0.0,0.0,0.76466808019402,3.24931730818519e-10,0.0,0.0,0.9999995300500238,0.0002127885053452,0.9999999999985661,69.74319062527158,0.9999996381945134,0.0002763915073829
ACONTb,0.9128844805128382,17.785948750239893,-4.49213603081601e-10,6.210830072461704e-09,3.376643925118932e-10,4.668549991038162e-09,-4.49213603081601e-10,6.210830072461704e-09,0.0017976466828790673,0.00018350066750369431,0.9990519052247994,89.16830449190763,0.0008042864914731109,0.00029943633944698456
FORtppi,0.9999999999989276,93.25696807335213,0.0,0.0,0.9842966019271409,6.2680484654359e-09,0.0,0.0,0.9999999195800614,0.0012434726237445,0.9999999999998852,871.7892990602385,0.9999999581568513,0.002389877408729
DOGULNR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLIPA2E181pp,0.9999999999463841,1.8651199999997448,0.0,0.0,0.0,0.0,0.0,0.0,0.9999943199264587,1.76053058583189e-05,0.9999999999943285,17.63188762069884,0.999996654780892,2.98933081053284e-05
UACMAMO,0.9999999986370851,0.0733721479150129,0.0,0.0,0.0,0.0,0.0,0.0,0.9999805504236058,5.14140015266021e-06,0.9999999998572534,0.7005420569292121,0.9999923047597911,1.29949459355996e-05
O16AUNDtpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_metsox_R__L_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_r5p_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPA120tipp,0.9999999999689028,3.215724137930384,0.0,0.0,0.6047101238265391,1.52978904919179e-10,0.0,0.0,0.9999960126172742,2.50790074940154e-05,0.9999999999966735,30.06169830330909,0.9999979481639105,4.87367364925368e-05
DHCIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCLK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGAptspp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METtex,-1.0000000001667453,0.5997170418005335,0.0,0.0,0.0,0.0,0.0,0.0,-1.0000034705674816,2.88138316247226e-05,0.0,0.0,-1.000002933366209,3.40906270160896e-05
CU2tex,0.05263157449238899,6.217910250290004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLIPA2G160pp,0.9999999999485287,1.9428333333329588,0.0,0.0,0.0,0.0,0.0,0.0,0.9999945824584274,1.84584570151488e-05,0.9999999999944942,18.16227605824932,0.9999967339118918,3.06175675852206e-05
FESD1s,0.9999999999882088,8.48089959922934,-1.27882073947321e-07,8.756846003529772e-10,1.0747218449312496e-07,7.359259000805363e-10,-1.27882073947321e-07,8.756846003529772e-10,0.9999999667511708,0.0030076246014199,0.9999999999982847,58.30083032487613,0.916040062716464,0.0088173596942956
ADNUC,0.9999999999957108,23.313999999994877,0.0,0.0,0.8771923543660499,7.14281549685169e-10,0.0,0.0,0.9999997446029683,0.0003915471285542,0.9999999999995413,217.94731269899447,0.9999997412180448,0.000386425606985
