Model,Organism,Run ID,Status,Unique Reactions,Unique Genes,Unique Metabolites,Unique Proteins (CPI-Pred),Unique Substrates (CPI-Pred),Rxn-Gene Pairs (CPI-Pred),CPI-Pred Coverage (%),COBRA Biomass,Initial EC Biomass,Initial Biomass,Final Biomass,Biomass Improvement (%),Median Initial kcat (1/hr),Median Tuned kcat (1/hr),Median Fold Change,N kcat Increased,N kcat Decreased,SA Iterations,Time Data Prep (s),Time Optimization (s),Time SA (s),Time Total Pipeline (s),Time Total Pipeline (hr),SLURM Job ID,SLURM Node,SLURM CPUs,SLURM Mem Requested (GB),SLURM Mem Used (MB),SLURM Walltime (s),Enzyme Upper Bound,Biomass Reaction
iECD_1391,E coli,iECD_1391_20260310_4426,Complete,3770,1333,1943,1333,0,11246,298.3,0.975615,0.071343,0.071343,0.90801,1172.7387,20280.8,60736.73,1.0,3295.0,0.0,97,31.5,2.8,777.0,813.2,0.226,26948186,fc30309,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECED1_1282,E coli,iECED1_1282_20260310_3036,Complete,3732,1279,1929,1279,0,10398,278.62,0.982463,0.080846,0.080846,0.914719,1031.4338,20887.42,51392.62,1.0,2759.0,0.0,105,36.0,2.9,831.6,872.7,0.242,26948187,fc30310,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECH74115_1262,E coli,iECH74115_1262_20260310_5771,Complete,3718,1262,1918,1262,0,10333,277.92,0.982478,0.079175,0.079175,0.910513,1050.0006,20461.28,52987.1,1.0,2758.0,0.0,124,30.4,2.3,796.5,831.2,0.231,26948189,fc30319,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECIAI1_1343,E coli,iECIAI1_1343_20260310_2277,Complete,3795,1343,1968,1343,0,11258,296.65,20.522226,0.054789,0.054789,5.73957,10375.7707,20922.21,62229.75,1.0,3293.0,0.0,226,34.0,3.1,1959.4,1998.7,0.555,26948194,fc30325,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECIAI39_1322,E coli,iECIAI39_1322_20260310_8629,Complete,3751,1321,1953,1321,0,11123,296.53,0.982841,0.07299,0.07299,0.914405,1152.7812,20490.98,61742.03,1.0,3308.0,0.0,128,34.8,2.8,1128.8,1168.5,0.325,26948195,fc30330,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECNA114_1301,E coli,iECNA114_1301_20260310_2926,Complete,3747,1301,1927,1301,0,11124,296.88,0.982478,0.075562,0.075562,0.918005,1114.903,21461.52,63067.51,1.0,3297.0,0.0,108,30.9,2.5,1033.4,1071.1,0.298,26948196,fc20569,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECO103_1326,E coli,iECO103_1326_20260310_9850,Complete,3794,1327,1958,1327,0,11232,296.05,0.982478,0.982478,0.982478,0.982478,0.0,27873.3,203218.48,5.4197,5.0,0.0,51,33.9,1.8,386.4,423.8,0.118,26948201,fc20607,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECO111_1330,E coli,iECO111_1330_20260310_7318,Complete,3793,1328,1959,1328,0,11223,295.89,0.982478,0.073717,0.073717,0.868782,1078.5368,20305.39,50085.13,1.0,3502.0,0.0,116,37.9,2.9,995.5,1038.5,0.288,26948205,fc20609,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECO26_1355,E coli,iECO26_1355_20260310_3260,Complete,3814,1355,1965,1355,0,11398,298.85,0.982478,0.073628,0.073628,0.91202,1138.6864,20312.97,47292.76,1.0,3444.0,0.0,134,33.2,3.1,1158.6,1197.0,0.333,26948209,fc20613,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECOK1_1307,E coli,iECOK1_1307_20260310_9163,Complete,3758,1304,1941,1304,0,11115,295.77,0.982478,0.074627,0.074627,0.919939,1132.716,21063.81,66215.72,1.0,3308.0,0.0,122,32.2,2.5,862.2,902.3,0.251,26948213,fc20635,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
